Iteration,No_of_models_picked,Models_Picked,Accuracy
0,3,"['M10', 'M9', 'M16']",10.0
1,6,"['M15', 'M5', 'M15', 'M12', 'M13', 'M9']",10.0
2,16,"['M5', 'M14', 'M13', 'M14', 'M6', 'M1', 'M15', 'M15', 'M5', 'M5', 'M12', 'M10', 'M2', 'M1', 'M4', 'M16']",0.0
3,15,"['M13', 'M12', 'M6', 'M2', 'M14', 'M3', 'M4', 'M4', 'M4', 'M4', 'M5', 'M10', 'M10', 'M11', 'M11']",0.0
4,12,"['M7', 'M3', 'M7', 'M5', 'M11', 'M7', 'M11', 'M10', 'M13', 'M1', 'M5', 'M15']",10.0
5,5,"['M12', 'M1', 'M5', 'M10', 'M4']",0.0
6,12,"['M8', 'M7', 'M1', 'M13', 'M8', 'M7', 'M1', 'M16', 'M4', 'M8', 'M11', 'M1']",0.0
7,12,"['M14', 'M3', 'M3', 'M7', 'M10', 'M6', 'M14', 'M14', 'M8', 'M8', 'M11', 'M5']",0.0
8,12,"['M13', 'M2', 'M7', 'M13', 'M5', 'M14', 'M14', 'M10', 'M7', 'M8', 'M5', 'M9']",0.0
9,6,"['M9', 'M12', 'M2', 'M15', 'M2', 'M13']",10.0
